time,open,high,low,close,TEMA Fast,TEMA Slow,TEMA Trend,IB High,IB Low,IB Mid,Prev VAH,Prev VAL,Prev POC,VWAP,IB Long,IB Short,VA Long,VA Short,80% Long,80% Short
1769070000.0,6936.5,6940.5,6936.0,6940.25,6939.911381749999,6937.39325275325,6926.0484067926,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6927.230297804819,0.0,0.0,0.0,0.0,0.0,0.0
1769070300.0,6940.25,6945.5,6939.5,6942.0,6941.997257114919,6939.58757843407,6927.64346834563,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6927.94094252794,0.0,0.0,0.0,0.0,0.0,0.0
1769070600.0,6942.0,6943.25,6940.0,6943.0,6943.59814388632,6941.5762877404495,6929.229049566419,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6928.26960856345,0.0,0.0,0.0,0.0,0.0,0.0
1769070900.0,6943.0,6945.75,6942.0,6945.75,6945.737439122509,6943.82375538591,6930.98545357834,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6928.699844846939,0.0,0.0,0.0,0.0,0.0,0.0
1769071200.0,6946.0,6947.75,6944.75,6946.5,6947.24001327513,6945.781413179139,6932.6926841398,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6929.14433253243,0.0,0.0,0.0,0.0,0.0,0.0
1769071500.0,6946.25,6947.5,6944.25,6947.0,6948.2103984149,6947.43157385968,6934.32703675775,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6929.451197009759,0.0,0.0,0.0,0.0,0.0,0.0
1769071800.0,6947.0,6952.25,6946.75,6949.75,6949.947699538219,6949.3831367433395,6936.12494848133,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6930.00675117371,0.0,0.0,0.0,0.0,0.0,0.0
1769072100.0,6949.75,6950.0,6946.5,6947.25,6949.619400732,6950.274422104059,6937.53104078829,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6930.2392510624295,0.0,0.0,0.0,0.0,0.0,0.0
1769072400.0,6947.0,6952.0,6946.5,6951.75,6951.404702631839,6952.02864375989,6939.2951978644,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6930.561752185629,0.0,0.0,0.0,0.0,0.0,0.0
1769072700.0,6951.75,6952.75,6950.25,6951.25,6952.11725907454,6953.251518143,6940.87438695459,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6930.8180491974,0.0,0.0,0.0,0.0,0.0,0.0
1769073000.0,6951.5,6953.75,6951.25,6953.75,6953.611525900559,6954.77960823105,6942.5905183389295,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6931.0954394950595,0.0,0.0,0.0,0.0,0.0,0.0
1769073300.0,6953.75,6956.0,6953.25,6955.0,6955.00173248572,6956.248017856259,6944.303671492739,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6931.646098030859,0.0,0.0,0.0,0.0,0.0,0.0
1769073600.0,6955.0,6955.25,6951.0,6952.5,6954.49406488282,6956.73299458961,6945.625304386839,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6931.966274099929,0.0,0.0,0.0,0.0,0.0,0.0
1769073900.0,6952.75,6952.75,6950.25,6951.5,6953.52353060727,6956.77942874957,6946.73696586722,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6932.156535319559,0.0,0.0,0.0,0.0,0.0,0.0
1769074200.0,6951.5,6954.5,6951.0,6954.25,6954.126755915119,6957.40061012132,6948.040295052439,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6932.45819442167,0.0,0.0,0.0,0.0,0.0,0.0
1769074500.0,6954.25,6954.5,6952.25,6953.25,6953.9299966503395,6957.568252784699,6949.13356055992,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6932.6404647746995,0.0,0.0,0.0,0.0,0.0,0.0
1769074800.0,6953.5,6955.25,6953.25,6954.25,6954.2106682747,6957.86207585098,6950.23756701577,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6932.80370979401,0.0,0.0,0.0,0.0,0.0,0.0
1769075100.0,6954.25,6955.0,6954.0,6955.0,6954.688909319179,6958.202262412389,6951.3251580193,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6932.93864348162,0.0,0.0,0.0,0.0,0.0,0.0
1769075400.0,6955.25,6956.0,6953.75,6954.0,6954.445057563569,6958.149222414289,6952.2160533701,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6933.106958128989,0.0,0.0,0.0,0.0,0.0,0.0
1769075700.0,6954.0,6954.25,6952.5,6953.0,6953.7492944164,6957.77557269269,6952.92360187303,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6933.2944082595095,0.0,0.0,0.0,0.0,0.0,0.0
1769076000.0,6953.25,6954.25,6952.25,6952.75,6953.15051764872,6957.32938190812,6953.53790107814,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6933.57450144417,0.0,0.0,0.0,0.0,0.0,0.0
1769076300.0,6953.0,6953.0,6951.0,6953.0,6952.87846654998,6956.95416142366,6954.11700593352,6891.0,6845.5,6868.25,6890.93704257018,6838.88285210448,6864.90994733733,6933.7756651070695,0.0,0.0,0.0,0.0,0.0,0.0
